time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,alpha_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized,thrust_N,cp_from_nose_m,Fg_x_N,Fg_z_N,F_aero_x_N,F_aero_z_N,NormalForceAero_N,AxialForceAero_N,Drag_N,Lift_N
44.7333333333333,31.7460954177669,0,4095.71883897935,1.57057439213731,0.00435334902375852,3.919643,0,0,-0.0014297623821715,0.918902666656023,25361.7135997062,1.3055092,-14032.1275479344,3.11421547363486,-954.368329599369,32.9313596582724,32.9313596582724,-954.368329599369,954.368329599369,32.9313596582724
44.75,31.7625303073633,0,4099.31187979316,1.57057450793781,0.00435101279609403,3.919624,0,0,-0.00143000787260026,0.918941583270069,25362.7876982539,1.3055092,-14030.4767192523,3.11222436124939,-955.076096385169,32.938096061925,32.938096061925,-955.076096385169,955.076096385169,32.938096061925
44.7666666666667,31.7789656014684,0,4102.90693560377,1.57057462350584,0.00434867809702664,3.919605,0,0,-0.00143025268586945,0.918980506907222,25363.8619906393,1.3055092,-14028.8270826385,3.11023715679919,-955.783884190276,32.9448185579405,32.9448185579405,-955.783884190276,955.783884190276,32.9448185579405
44.7833333333333,31.7954012993938,0,4106.50400701342,1.57057473885518,0.00434634493872225,3.919586,0,0,-0.00143049691103562,0.919019437553591,25364.9364764791,1.3055092,-14027.1762436426,3.10825313472977,-956.491692387953,32.9515272418368,32.9515272418368,-956.491692387953,956.491692387953,32.9515272418368
44.8,31.8118374004569,0,4110.10309464876,1.57057485397954,0.00434401331339494,3.919567,0,0,-0.00143074047144834,0.919058375195365,25366.0111553921,1.3055092,-14025.5265967132,3.1062729130724,-957.199520270208,32.9582220549651,32.9582220549651,-957.199520270208,957.199520270208,32.9582220549651
44.8166666666667,31.8282739039812,0,4113.70419916073,1.57057496887767,0.00434168321821273,3.919549,0,0,-0.00143098338313211,0.919097319818801,25367.0860269989,1.3055092,-14023.8757474049,3.10429597753447,-957.907367231116,32.964902979368,32.964902979368,-957.907367231116,957.907367231116,32.964902979368
44.8333333333333,31.8447108092818,0,4117.30732115215,1.57057508355622,0.00433935465821902,3.91953,0,0,-0.0014312256705233,0.919136271409986,25368.1610909156,1.3055092,-14022.2248929419,3.10232249941506,-958.615232613646,32.97157005578,32.97157005578,-958.615232613646,958.615232613646,32.97157005578
44.85,31.8611481156798,0,4120.91246125019,1.57057519801586,0.00433702763243977,3.919511,0,0,-0.00143146732039369,0.919175229955079,25369.2363467602,1.3055092,-14020.5752305424,3.10035273264227,-959.323115803522,32.9782232804983,32.9782232804983,-959.323115803522,959.323115803522,32.9782232804983
44.8666666666667,31.8775858225022,0,4124.51962010639,1.57057531224934,0.00433470213231708,3.919492,0,0,-0.00143170830536761,0.919214195440314,25370.3117941527,1.3055092,-14018.9243657693,3.09838624836382,-960.031016063726,32.9848625876054,32.9848625876054,-960.031016063726,960.031016063726,32.9848625876054
44.8833333333333,31.8940239290676,0,4128.12879832404,1.57057542627514,0.00433237817445274,3.919473,0,0,-0.00143194870328851,0.919253167851751,25371.3874327083,1.3055092,-14017.2742939861,3.09642322742795,-960.738932851185,32.9914881099274,32.9914881099274,-960.738932851185,960.738932851185,32.9914881099274
